"ID","B64 ID","STATE","CITY","NAME","NUM RATINGS","AVG RATINGS","TYPENAME","URL"
"201","U2Nob29sLTIwMQ==","MO","Warrensburg","University of Central Missouri","274","3.64","School","https://www.ratemyprofessors.com/school?sid=201"
"202","U2Nob29sLTIwMg==","WA","Ellensburg","Central Washington University","342","3.78","School","https://www.ratemyprofessors.com/school?sid=202"
"203","U2Nob29sLTIwMw==","KY","Danville","Centre College","74","3.79093","School","https://www.ratemyprofessors.com/school?sid=203"
"204","U2Nob29sLTIwNA==","NE","Chadron","Chadron State College","30","3.17","School","https://www.ratemyprofessors.com/school?sid=204"
"205","U2Nob29sLTIwNQ==","HI","Honolulu","Chaminade University","54","3.47","School","https://www.ratemyprofessors.com/school?sid=205"
"206","U2Nob29sLTIwNg==","VT","Burlington","Champlain College","121","3.96","School","https://www.ratemyprofessors.com/school?sid=206"
"207","U2Nob29sLTIwNw==","","","Chapman University","215","4.16","School","https://www.ratemyprofessors.com/school?sid=207"
"208","U2Nob29sLTIwOA==","SC","Charleston","Charleston Southern University","138","3.28","School","https://www.ratemyprofessors.com/school?sid=208"
"209","U2Nob29sLTIwOQ==","CT","New Britain","Charter Oak State College","9","4.1","School","https://www.ratemyprofessors.com/school?sid=209"
"210","U2Nob29sLTIxMA==","PA","Pittsburgh","Chatham University","53","3.75","School","https://www.ratemyprofessors.com/school?sid=210"
"211","U2Nob29sLTIxMQ==","MD","Wye Mills","Chesapeake College","35","3.45238","School","https://www.ratemyprofessors.com/school?sid=211"
"212","U2Nob29sLTIxMg==","PA","Cheyney","Cheyney University","12","2.65","School","https://www.ratemyprofessors.com/school?sid=212"
"213","U2Nob29sLTIxMw==","IL","Chicago","The Chicago School of Professional Psychology","30","3.46","School","https://www.ratemyprofessors.com/school?sid=213"
"214","U2Nob29sLTIxNA==","IL","Chicago","Chicago State University","56","2.85096","School","https://www.ratemyprofessors.com/school?sid=214"
"215","U2Nob29sLTIxNQ==","IL","Chicago","Chicago-Kent College of Law","11","3.83","School","https://www.ratemyprofessors.com/school?sid=215"
"216","U2Nob29sLTIxNg==","VA","Front Royal","Christendom College","23","3.19565","School","https://www.ratemyprofessors.com/school?sid=216"
"217","U2Nob29sLTIxNw==","","","Christian Brothers University","69","3.57","School","https://www.ratemyprofessors.com/school?sid=217"
"218","U2Nob29sLTIxOA==","IN","Indianapolis","Christian Theological Seminary","0","0","School","https://www.ratemyprofessors.com/school?sid=218"
"219","U2Nob29sLTIxOQ==","VA","Newport News","Christopher Newport University","373","3.94","School","https://www.ratemyprofessors.com/school?sid=219"
"220","U2Nob29sLTIyMA==","OH","Cincinnati","Cincinnati Christian University","14","2.97","School","https://www.ratemyprofessors.com/school?sid=220"
"221","U2Nob29sLTIyMQ==","","","The Citadel - The Military College of South Carolina","90","3.69","School","https://www.ratemyprofessors.com/school?sid=221"
"222","U2Nob29sLTIyMg==","","","Baruch College","516","3.52","School","https://www.ratemyprofessors.com/school?sid=222"
"223","U2Nob29sLTIyMw==","","","Brooklyn College","370","3.47","School","https://www.ratemyprofessors.com/school?sid=223"
"224","U2Nob29sLTIyNA==","","","City College of New York","421","3.25","School","https://www.ratemyprofessors.com/school?sid=224"
"225","U2Nob29sLTIyNQ==","NY","Staten Island","College of Staten Island (CUNY - Staten Island)","368","3.16","School","https://www.ratemyprofessors.com/school?sid=225"
"226","U2Nob29sLTIyNg==","","","Hunter College","515","3.19","School","https://www.ratemyprofessors.com/school?sid=226"
"227","U2Nob29sLTIyNw==","","","John Jay College of Criminal Justice","511","3.71212","School","https://www.ratemyprofessors.com/school?sid=227"
"228","U2Nob29sLTIyOA==","","","Lehman College","252","3.57","School","https://www.ratemyprofessors.com/school?sid=228"
"229","U2Nob29sLTIyOQ==","NY","Brooklyn","Medgar Evers College","184","3.06","School","https://www.ratemyprofessors.com/school?sid=229"
"230","U2Nob29sLTIzMA==","","","New York City College of Technology","388","2.79263","School","https://www.ratemyprofessors.com/school?sid=230"
